Medical Code ID,Term
299708014,Acute anteroapical infarction
455641000006112,Acute anterolateral myocardial infarction
455651000006114,Acute anteroseptal myocardial infarction
299719012,Acute atrial infarction
457531000006110,Acute inferolateral myocardial infarction
1234005010,Acute inferoposterior infarction
94884017,Acute myocardial infarction
8011041000006110,Acute myocardial infarction due to right coronary artery occlusion
7572301000006110,Acute myocardial infarction during procedure
299721019,Acute myocardial infarction NOS
3381601000006110,Acute myocardial infarction of anterior wall
3641641000006110,Acute myocardial infarction of anterolateral wall
3459561000006110,Acute myocardial infarction of apical-lateral wall
3551171000006110,Acute myocardial infarction of high lateral wall
299714019,Acute myocardial infarction of inferior wall
3565871000006110,Acute myocardial infarction of inferolateral wall
13935211000006100,Acute myocardial infarction of inferolateral wall with posterior extension
3745741000006110,Acute myocardial infarction of inferoposterior wall
3452181000006110,Acute myocardial infarction of lateral wall
967931000006114,Acute myocardial infarction of posterolateral wall
13935161000006100,Acute myocardial infarction of right ventricle
450322013,Acute non-Q wave infarction
1780501013,Acute non-ST segment elevation myocardial infarction
1218860015,Acute papillary muscle infarction
5056311000006110,Acute Q wave infarction - inferior
5056331000006110,Acute Q wave infarction - inferolateral
5935321000006110,Acute Q wave myocardial infarction
447324018,Acute Q-wave infarct
1234306015,Acute septal infarction
1780491019,Acute ST segment elevation myocardial infarction
13941211000006100,Acute ST segment elevation myocardial infarction due to distal left anterior descending coronary artery occlusion
13941141000006100,Acute ST segment elevation myocardial infarction due to mid left anterior descending coronary artery occlusion
13945211000006100,Acute ST segment elevation myocardial infarction due to occlusion of anterior descending branch of left coronary artery
13947721000006100,Acute ST segment elevation myocardial infarction due to occlusion of intermediate artery
13961371000006100,Acute ST segment elevation myocardial infarction due to occlusion of mid portion of right coronary artery
13961461000006100,Acute ST segment elevation myocardial infarction due to occlusion of posterior lateral branch of right coronary artery
13941091000006100,Acute ST segment elevation myocardial infarction due to proximal left anterior descending coronary artery occlusion
9844051000006110,Acute ST segment elevation myocardial infarction due to right coronary artery occlusion
8087751000006110,Acute ST segment elevation myocardial infarction involving left anterior descending coronary artery
7571611000006110,Acute ST segment elevation myocardial infarction of anterior wall involving right ventricle
9843961000006110,Acute ST segment elevation myocardial infarction of anterolateral wall
9843991000006110,Acute ST segment elevation myocardial infarction of anteroseptal wall
7572321000006110,Acute ST segment elevation myocardial infarction of inferior wall
12122331000006100,Acute ST segment elevation myocardial infarction of inferolateral wall
12122341000006100,Acute ST segment elevation myocardial infarction of inferoposterior wall
9843981000006110,Acute ST segment elevation myocardial infarction of lateral wall
9844011000006110,Acute ST segment elevation myocardial infarction of posterior wall
116992017,Acute subendocardial infarction
2729671000000110,Acute transmural myocardial infarction
460681000006116,Acute transmural myocardial infarction of unspecif site
537751000006115,Cardiac rupture after acute myocardial infarction
1786197015,Coronary thrombosis
884141000006116,Coronary thrombosis
256455012,ECG: antero-septal infarct
256459018,ECG: lateral infarction
256460011,ECG: myocardial infarct NOS
256452010,ECG: myocardial infarction
256458014,ECG: subendocardial infarct
256457016,ECG:posterior/inferior infarct
219531000000117,MI - acute myocardial infarction
1229885017,Microinfarction of heart
299718016,Other acute myocardial infarction
299720018,Other acute myocardial infarction
208365015,Postoperative myocardial infarction
455423016,"Postoperative myocardial infarction, unspecified"
455422014,Postoperative subendocardial myocardial infarction
212061000006119,Postoperative transmural myocardial infarction of anterior wall
212071000006114,Postoperative transmural myocardial infarction of inferior wall
212081000006112,Postoperative transmural myocardial infarction other sites
212091000006110,Postoperative transmural myocardial infarction unspec site
1786198013,Thrombosis - coronary
299712015,True posterior myocardial infarction
