Medical Code ID,Term
27096010,Giant bullous emphysema
105519017,Chronic bronchitis
123588010,Mucopurulent chronic bronchitis
216596014,End stage chronic obstructive airways disease
301456017,Mixed simple and mucopurulent chronic bronchitis
301460019,Chronic bullous emphysema
301463017,Segmental bullous emphysema
301470017,Acute vesicular emphysema
457168017,Mild chronic obstructive pulmonary disease
457169013,Moderate chronic obstructive pulmonary disease
475431013,Chronic obstructive pulmonary disease
506053014,Purulent chronic bronchitis
508561017,Simple chronic bronchitis
1484924013,Chronic obstructive pulmonary disease monitoring
2.99001E+14,Chronic obstructive pulmonary disease disturbs sleep
8.85281E+14,Mucopurulent chr. bronchitis
9.09721E+14,[RFC] Emphysema
1.7712E+15,Chronic obstructive pulmonary disease multidisciplinary review
1.85649E+15,Chronic obstructive pulmonary disease monitoring in primary care
1.8565E+15,Chronic obstructive pulmonary disease monitoring secondary care
1.85657E+15,Chronic obstructive pulmonary disease severity
1.85659E+15,Chronic obstructive pulmonary disease follow-up assessment
1.88242E+15,1 COPD exacerbation in past year
1.88243E+15,3+ COPD exacerbations in past year
1.88244E+15,2 COPD exacerbations in past year
2.21986E+15,Chronic obstructive pulmonary disease rescue pack declined
2.42373E+15,Telehealth chronic obstructive pulmonary disease monitoring
2.01006E+15,Acute non-infective exacerbation of chronic obstructive pulmonary disease
19421011,Interstitial emphysema
139979010,Fetid chronic bronchitis
301444018,Simple chronic bronchitis NOS
301455018,Obstructive chronic bronchitis NOS
301458016,Other chronic bronchitis NOS
301468014,Chronic bullous emphysema NOS
301477019,Emphysema NOS
301545019,Chronic obstructive airways disease NOS
1222334016,Other specified chronic obstructive pulmonary disease
1222335015,Chronic obstructive pulmonary disease NOS
5.53211E+14,"Chron obstruct pulmonary dis wth acute exacerbation, unspec"
5.55461E+14,Chronic obstruct pulmonary dis with acute lower resp infectn
9.77891E+14,COPD accident and emergency attendance since last visit
9.98281E+14,Multiple COPD emergency hospital admissions
1.70453E+15,COPD patient unsuitable for pulmonary rehab - enh serv admin
1.70454E+15,COPD patient unsuitable for pulmonary rehabilitation
1.78389E+15,Chronic obstructiv pulmonary disease medication optimisation
1.78407E+15,Preferred place of care for next exacerbation of COPD
1.81166E+15,COPD self-management plan agreed
1.88598E+15,Chronic obstructive pulmon dis wr self managem plan declined
301469018,Other emphysema
1.19324E+16,COPD GOLD group C
1.19324E+16,COPD GOLD group D
2160051010,Admit COPD emergency
8.31292E+15,COPD (chronic obstructive pulmonary disease) management plan declined
4.73303E+15,Chronic obstructive bronchitis
2.71635E+15,COLD - Chronic obstructive lung disease
7.48434E+15,Optimization of medication for chronic obstructive lung disease
4.78146E+15,Emphysematous bulla
4.73301E+15,COB - Chronic obstructive bronchitis
4.78142E+15,Acute exacerbation of COPD
8.26063E+15,COPD (chronic obstructive pulmonary disease) self-management plan review
8.29467E+15,COPD (chronic obstructive pulmonary disease) written self management plan declined
9.31733E+15,Asthma-COPD overlap syndrome (ACOS)
4.73302E+15,Obstructive chronic bronchitis
4.73299E+15,Chronic bronchitis with emphysema
4.78143E+15,Acute exacerbation of chronic obstructive pulmonary disease
3.76402E+15,Interstitial emphysema of lung
8.31648E+15,Shared care COPD (chronic obstructive pulmonary disease) monitoring
8.12572E+15,At risk of COPD (chronic obstructive pulmonary disease) exacerbation
1.24898E+16,Admit COPD emergency
2.71632E+15,COPD - Chronic obstructive pulmonary disease
6.76323E+15,Emergency hospital admission for chronic obstructive pulmonary disease
3.92136E+15,Emphysema of lung
1.27047E+16,Interstitial emphysema
1.27594E+16,Chronic obstructive pulmonary disease NOS
285104011,Obstructive chronic bronchitis
301539010,Other specified chronic obstructive airways disease
1.88006E+15,COPD management plan declined
1.76568E+15,History of chronic obstructive pulmonary disease
1.57311E+15,Issue of chronic obstructive pulmonary disease rescue pack
5.16801E+14,Very severe chronic obstructive pulmonary disease
1.81387E+15,On chronic obstructive pulmonary disease supprtv cre pathway
1.19323E+16,COPD GOLD group B
9.77911E+14,Number of COPD exacerbations in past year
7.48435E+15,Optimisation of medication for chronic obstructive lung disease
4.57581E+14,Acute interstitial emphysema
4.78147E+15,Bullous emphysema
5.51684E+15,History of chronic obstructive airway disease
2.71623E+15,Chronic obstructive lung disease
6.76325E+15,Emergency hospital admission for COPD (chronic obstructive pulmonary disease)
7.48433E+15,Optimization of medication for chronic obstructive pulmonary disease
8.2351E+15,COPD (chronic obstructive pulmonary disease) 3 monthly review
1.27282E+16,Chronic obstructive airways disease NOS
8.23513E+15,COPD (chronic obstructive pulmonary disease) 6 monthly review
1.6566E+15,COPD patient unsuitable for pulmonary rehabilitation
9.09711E+14,[RFC] Chronic obstructive pulmonary disease (COPD)
8.51261E+14,"Chronic bronchitis, acute exac"
1780380013,Chronic obstructive pulmonary disease monitoring by nurse
1780381012,Chronic obstructive pulmonary disease monitoring by doctor
1488424013,Chronic obstructive pulmonary disease annual review
457171013,Severe chronic obstructive pulmonary disease
301450011,Chronic asthmatic bronchitis
301451010,Chronic wheezy bronchitis
301464011,Zonal bullous emphysema
9.77901E+14,Emergency COPD admission since last appointment
8.12098E+15,COPD (Chronic obstructive pulmonary disease) patient unsuitable for pulmonary rehabilitation
8.0583E+15,COPD (chronic obstructive pulmonary disease) disturbs sleep
9.31734E+15,ACOS - asthma-chronic obstructive pulmonary disease overlap syndrome
301448015,Mucopurulent chronic bronchitis NOS
3011135010,Step down change in chronic obstructive pulmonary disease management plan
424365019,Acute infective exacerbation of chronic obstructive airways disease
2.00945E+15,Chronic obstructive pulmonary disease post discharge review
1.88237E+15,Shared care chronic obstructive pulmonary disease monitoring
1.68318E+15,Chronic obstructive pulmonary disease 3 monthly review
508562012,Chronic catarrhal bronchitis
1488423019,Chronic obstructive pulmonary disease follow-up
396108018,Bullous emphysema with collapse
301453013,Acute exacerbation of chronic obstructive airways disease
1.81388E+15,On COPD (chr obstruc pulmonary disease) supportive care pathway
1.94805E+15,Asthma-chronic obstructive pulmonary disease overlap syndrome
301835010,[X]Other emphysema
396110016,Other emphysema NOS
1.19323E+16,COPD GOLD group A
8.29465E+15,COPD (chronic obstructive pulmonary disease) rescue pack declined
4.5108E+15,End stage chronic obstructive pulmonary disease
8.2195E+15,Issue of COPD (chronic obstructive pulmonary disease) rescue pack
3.76403E+15,Interstitial pulmonary emphysema
1.68322E+15,Chronic obstructive pulmonary disease 6 monthly review
2.15209E+15,Has chronic obstructive pulmonary disease care plan
2.30851E+15,Shared care chronic obstructive pulmonary disease monitoring
1.82385E+15,Chronic obstructive pulmonary disease confirmed
8.28717E+15,Acute non-infective exacerbation of COPD (chronic obstructive pulmonary disease)
301572010,Chronic emphysema due to chemical fumes
87480013,Chronic tracheobronchitis
1.90486E+15,Chronic obstruct pulmonary disease management plan declined
301457014,Other chronic bronchitis
301459012,Chronic bronchitis NOS
301836011,[X]Other specified chronic obstructive pulmonary disease
5.55471E+14,Chronic obstructive airways disease
6.40491E+14,Emphysema
9.66841E+14,Chronic obstructive pulmonary disease clini management plan
3.87319E+15,Fetid chronic bronchitis
8.24487E+15,GP (general practitioner) OOH (out of hours) service notified of COPD (chronic obstructive pulmonary disease) care plan
