Medical Code ID,Term
18472010,Acute congestive heart failure
82584011,Acute cor pulmonale
94251011,Acute heart failure
300190010,Acute left ventricular failure
504901000006118,Benign hypertensive heart disease with congestive cardiac failure
4005301000006110,Biventricular failure
139482012,Cardiac failure
223981000000118,Cardiac failure NOS
451426015,Cardiac failure therapy
147247018,Chronic congestive heart failure
132655012,Chronic cor pulmonale
300180019,Compensated cardiac failure
493287011,Congestive cardiac failure
3182541000006110,Congestive cardiac failure
1778488011,Congestive cardiomyopathy
3182531000006110,Congestive heart disease
70653017,Congestive heart failure
7056281000006110,Congestive heart failure due to left ventricular systolic dysfunction
2675255018,Congestive heart failure due to valvular disease
216184014,Congestive heart failure monitoring
8011111000006110,Congestive heart failure with right heart failure
7208001000006110,"Congestive heart failure, hypertension, age 75 years or older, diabetes, and previous stroke or transient ischaemic attack risk score"
350413012,Congestive obstructive cardiomyopathy
300179017,Decompensated cardiac failure
2122191000000110,Education about deteriorating heart failure
251680018,H/O: heart failure
453099015,H/O: Heart failure in last year
1746171000000110,Has heart failure management plan
139475013,Heart failure
404741000000119,Heart failure 6 month review
1484918019,Heart failure annual review
350484012,Heart failure as a complication of care 
2205951000000110,Heart failure clinical pathway
1488804017,Heart failure confirmed
7475721000006110,Heart failure due to end stage congenital heart disease
2645623019,Heart failure education
1484917012,Heart failure follow-up
8290471000006110,Heart failure initial assessment
7484711000006110,Heart failure medication review
8303561000006110,Heart failure monitoring
1539521000006110,Heart failure monitoring - co-medications
1539531000006110,Heart failure monitoring - co-morbidities
1539511000006110,Heart failure monitoring - multiple readmissions
1539541000006110,Heart failure monitoring - palliative care
1539501000006110,Heart failure monitoring - psychological issues
1539491000006110,Heart failure monitoring - social issues
1539481000006110,Heart failure monitoring - specialist clinical needs
1539471000006110,Heart failure monitoring - unstable symptoms
308231000000118,Heart failure monitoring administration 
1856381000006110,Heart failure monitoring default
407061000000112,Heart failure monitoring first letter
1856361000006110,Heart failure monitoring in primary care
1856371000006110,Heart failure monitoring in secondary care
407081000000115,Heart failure monitoring second letter
406801000000118,Heart failure monitoring telephone invitation
407101000000114,Heart failure monitoring third letter
407041000000111,Heart failure monitoring verbal invitation
395772015,Heart failure NOS
308261000000111,Heart failure review completed
3515953019,Heart failure self management plan
2117931000000110,Heart failure self-management plan agreed
2115781000000110,Heart failure self-management plan review
13910671000006100,Heart failure with mid range ejection fraction
1647701000000110,Heart failure with normal ejection fraction
2227501000000110,Heart failure with preserved ejection fraction
7321121000006110,Heart failure with preserved ejection fraction
7573171000006110,Heart failure with reduced ejection fraction
7573201000006110,Heart failure with reduced ejection fraction due to cardiomyopathy
7573181000006110,Heart failure with reduced ejection fraction due to coronary artery disease
7573211000006110,Heart failure with reduced ejection fraction due to heart valve disease
7573191000006110,Heart failure with reduced ejection fraction due to myocarditis
741701000006114,Hypertensive heart and renal disease with (congestive) heart failure
789941000006117,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
741681000006111,Hypertensive heart disease NOS with CCF
411506018,Impaired left ventricular function
784191000006110,Impaired left ventricular function
8234611000006110,Left ventricular dysfunction due to right ventricular interaction
226181000000110,Left ventricular dysfunction monitoring administration
2533628012,Left ventricular dysfunction monitoring first letter
2533629016,Left ventricular dysfunction monitoring second letter
407001000000113,Left ventricular dysfunction monitoring telephone invitation
2533630014,Left ventricular dysfunction monitoring third letter
2549089012,Left ventricular dysfunction monitoring verbal invite
141306010,Left ventricular failure
728671000006119,Malignant hypertensive heart disease with congestive cardiac failure
11927011000006100,New York Heart Association Classification
2616470012,New York Heart Association Classification - Class I
2616471011,New York Heart Association Classification - Class II
2616472016,New York Heart Association Classification - Class III
2616473014,New York Heart Association Classification - Class IV
833381000006119,New York Heart Association Classification class
308041000000118,Referral to heart failure exercise programme
303361000000111,Referred by heart failure nurse specialist
72934016,Rheumatic left ventricular failure
206703015,Right heart failure
490972013,Right ventricular failure
1816101000006110,Right ventricular failure
2548316014,Seen by community heart failure nurse
216207010,Left ventricular systolic dysfunction
1489358014,Left ventricular diastolic dysfunction
