Medical Code ID,Term
12702791000006100,Sleep apnoea syndrome
136581000006114,Sleep apnoea
200354014,Sleep apnoea
219501000000111,Obstructive sleep apnoea
267911000006119,Obstructive sleep apnoea
3693961000006110,Sleep apnea
3773251000006110,Obstructive sleep apnoea syndrome
3773261000006110,Obstructive sleep apnoea syndrome
3773291000006110,Obstructive sleep apnoea
3847211000006110,Sleep apnoea monitoring with alarm
4096351000006110,Sleep apnoea assessment
4216921000006110,Sleep apnoea recording
7280381000006110,Sleep apnoea clinic
7280391000006110,Sleep apnea clinc
7606701000006110,Sleep apnoea mask
7967601000006110,Obstructive sleep apnoea of adult
7967611000006110,Obstructive sleep apnea of adult
981761000006114,Sleep apnea
317034011,Insomnia with sleep apnoea
31765510000061,Insomnia with sleep apnoea
405691012,Hypersomnia with sleep apnoea
1230483018,CPAP – Continuous positive airways pressure
32688910000061,CPAP treatment
32689110000061,CPAP – Continuous positive airways pressure therapy
12106341000006,CPAP (continuous positive airway pressure) at home
37732710000061,OSA – Obstructive sleep apnoea
37732810000061,OSA- Obstructive sleep apnea
