Medical Code ID,Term
300363010,Anterior cerebral artery syndrome
5011331000006110,Anterior cerebral circulation haemorrhagic infarction
5011041000006110,Anterior cerebral circulation infarction
503791000006114,Basal ganglia haemorrhage
106392017,Basilar artery syndrome
4057041000006110,Brain stem stroke
345650013,Brainstem infarction NOS
483988011,Bulbar haemorrhage
300344014,Carotid artery syndrome hemispheric
502878012,Cerebellar haemorrhage
158118014,Cerebellar infarction
300366019,Cerebellar stroke syndrome
1222398015,Cerebral arterial occlusion
125470015,Cerebral embolism
542831000006116,Cerebral embolus
300312010,Cerebral infarct due to thrombosis of precerebral arteries
395780010,Cerebral infarction
542251000006112,"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic"
300322016,Cerebral infarction due to embolism of cerebral arteries
7598981000006110,Cerebral infarction due to embolism of middle cerebral artery
300313017,Cerebral infarction due to embolism of precerebral arteries
2729551000000110,Cerebral infarction due to occlusion of cerebral artery
542261000006114,Cerebral infarction due to occlusion of precerebral artery
2729571000000110,Cerebral infarction due to stenosis of cerebral artery
300321011,Cerebral infarction due to thrombosis of cerebral arteries
7599001000006110,Cerebral infarction due to thrombosis of middle cerebral artery
1573101000006110,Cerebral infarction with haemorrhagic transformation
118689010,Cerebral thrombosis
405339016,Cerebrovascular accident
7519441000006110,Cerebrovascular accident annual review
1773371000006110,Cerebrovascular accident care plan
14014251000006100,Cerebrovascular accident due to occlusion of bilateral pontine arteries
3509794017,Cerebrovascular accident due to occlusion of left middle cerebral artery
3509777019,Cerebrovascular accident due to occlusion of left pontine artery
3509799010,Cerebrovascular accident due to occlusion of left posterior cerebral artery
3509810017,Cerebrovascular accident due to occlusion of right middle cerebral artery
3636133016,Cerebrovascular accident due to occlusion of right middle cerebral artery by embolus
3509790014,Cerebrovascular accident due to occlusion of right posterior cerebral artery
13717171000006100,Cerebrovascular accident due to stenosis of bilateral carotid arteries 
3508955016,Cerebrovascular accident due to thrombus of basilar artery
3508952018,Cerebrovascular accident due to thrombus of left carotid artery
3508964014,Cerebrovascular accident due to thrombus of left middle cerebral artery
3508958019,Cerebrovascular accident due to thrombus of right carotid artery
3508961018,Cerebrovascular accident due to thrombus of right middle cerebral artery
495394013,Cortical haemorrhage
605491000006113,CVA - Cerebrovascular accident
605461000006117,CVA - cerebrovascular accident due to cerebral artery occlusion
605481000006110,CVA - cerebrovascular accident in the puerperium
605501000006117,CVA unspecified
102489017,Drop attack
300276019,External capsule haemorrhage
300352012,Impending cerebral ischaemia
218511000000117,Infarction - cerebral
2474651019,Infarction of basal ganglia
499739014,Insufficiency - basilar artery
300353019,Intermittent cerebral ischaemia
496232015,Internal capsule haemorrhage
12223101000006100,Intracerebral haemorrhage
744901000006114,Intracerebral haemorrhage (ICH)
744921000006116,"Intracerebral haemorrhage in hemisphere, unspecified"
300287010,Intracerebral haemorrhage NOS
4777861000006110,Intracerebral haemorrhage with intraventricular haemorrhage
300277011,"Intracerebral haemorrhage, intraventricular"
4777881000006110,"Intracerebral haemorrhage, multiple localised"
746571000006116,"Intracerebral haemorrhage, multiple localized"
130375018,Lateral medullary syndrome
4778181000006110,Left sided cerebral hemisphere cerebrovascular accident
451133011,Left sided cerebral infarction
748941000006115,"Left sided intracerebral haemorrhage, unspecified"
300362017,Middle cerebral artery syndrome
300310019,Multiple and bilateral precerebral arterial occlusion
300345010,Multiple and bilateral precerebral artery syndromes
300348012,Other transient cerebral ischaemia
503469016,Pontine haemorrhage
300364016,Posterior cerebral artery syndrome
5011351000006110,Posterior cerebral circulation haemorrhagic infarction
5011131000006110,Posterior cerebral circulation infarction
5011141000006110,Posterior cerebral circulation stroke
5011191000006110,Pure motor lacunar infarction
345655015,Pure motor lacunar syndrome
5011211000006110,Pure sensory lacunar infarction
345658018,Pure sensory lacunar syndrome
4778201000006110,Right sided cerebral hemisphere cerebrovascular accident
451134017,Right sided cerebral infarction
300371014,Right sided CVA
163261000006119,"Right sided intracerebral haemorrhage, unspecified"
884531000006117,Stroke
5010981000006110,Stroke
8221321000006110,Stroke and TIA
3508956015,Stroke due to basilar artery thrombus
122361000006113,Stroke due to cerebral arterial occlusion
3508965010,Stroke due to thrombus of left middle cerebral artery
3508962013,Stroke due to thrombus of right middle cerebral artery
5011451000006110,Stroke of uncertain pathology
122401000006115,Stroke unspecified
884521000006115,Stroke/CVA - undefined
25897016,Subclavian steal syndrome
5492171000006110,TIA
5492201000006110,TIA - Transient ischaemic attack
395788015,Transient cerebral ischaemia
7064691000006110,Transient cerebral ischaemia due to atrial fibrillation 
300349016,Transient cerebral ischaemia NOS
95931000006111,Transient cerebral ischaemia NOS
416991000006112,Transient cerebral ischemia
11920121000006100,Transient cerebral ischemia
395783012,Transient ischaemic attack
884511000006111,Transient Ischaemic Attacks
988951000006117,Transient Ischaemic Attacks
58046010,Vertebral artery syndrome
106394016,Vertebrobasilar insufficiency
67511000006117,Vertebro-basilar insufficiency
57341000006119,Wallenberg's syndrome
